state_name,gdp_per_capita_inr
Andaman & Nicobar Islands,180000
Andhra Pradesh,168000
Arunachal Pradesh,155000
Assam,102000
Bihar,48000
Chandigarh,330000
Chhattisgarh,115000
Dadra & Nagar Haveli,220000
Daman & Diu,240000
Goa,450000
Gujarat,242000
Haryana,265000
Himachal Pradesh,201000
Jammu & Kashmir,112000
Jharkhand,79000
Karnataka,235000
Kerala,220000
Lakshadweep,190000
Madhya Pradesh,98000
Maharashtra,225000
Manipur,84000
Meghalaya,92000
Mizoram,99000
Nagaland,110000
NCT of Delhi,376000
Odisha,124000
Puducherry,210000
Punjab,174000
Rajasthan,135000
Sikkim,412000
Tamil Nadu,240000
Tripura,125000
Uttar Pradesh,70000
Uttarakhand,212000
West Bengal,121000
India,142000
